Dato;Konsumprisindeks(2015=100)
1991M01;61,00
1991M02;61,20
1991M03;61,60
1991M04;61,80
1991M05;61,90
1991M06;62,00
1991M07;62,00
1991M08;62,00
1991M09;62,40
1991M10;62,40
1991M11;62,40
1991M12;62,40
1992M01;62,40
1992M02;62,60
1992M03;63,10
1992M04;63,30
1992M05;63,40
1992M06;63,50
1992M07;63,60
1992M08;63,40
1992M09;63,70
1992M10;63,80
1992M11;63,80
1992M12;63,80
1993M01;64,00
1993M02;64,20
1993M03;64,80
1993M04;64,90
1993M05;64,90
1993M06;65,00
1993M07;64,90
1993M08;64,80
1993M09;65,10
1993M10;65,10
1993M11;65,10
1993M12;65,00
1994M01;64,90
1994M02;65,10
1994M03;65,40
1994M04;65,50
1994M05;65,50
1994M06;65,70
1994M07;65,80
1994M08;65,80
1994M09;66,20
1994M10;66,20
1994M11;66,20
1994M12;66,20
1995M01;66,60
1995M02;66,80
1995M03;67,20
1995M04;67,20
1995M05;67,30
1995M06;67,50
1995M07;67,40
1995M08;67,30
1995M09;67,70
1995M10;67,70
1995M11;67,60
1995M12;67,60
1996M01;67,30
1996M02;67,40
1996M03;67,70
1996M04;67,90
1996M05;68,00
1996M06;68,10
1996M07;68,30
1996M08;68,30
1996M09;68,60
1996M10;68,90
1996M11;68,80
1996M12;68,80
1997M01;69,30
1997M02;69,60
1997M03;69,70
1997M04;69,70
1997M05;69,80
1997M06;70,00
1997M07;69,90
1997M08;69,80
1997M09;70,20
1997M10;70,30
1997M11;70,40
1997M12;70,40
1998M01;70,70
1998M02;71,00
1998M03;71,40
1998M04;71,40
1998M05;71,30
1998M06;71,50
1998M07;71,50
1998M08;71,30
1998M09;71,90
1998M10;71,90
1998M11;72,00
1998M12;72,10
1999M01;72,40
1999M02;72,50
1999M03;73,00
1999M04;73,20
1999M05;73,10
1999M06;73,20
1999M07;73,00
1999M08;72,70
1999M09;73,40
1999M10;73,70
1999M11;74,00
1999M12;74,10
2000M01;74,50
2000M02;74,80
2000M03;74,90
2000M04;75,10
2000M05;75,20
2000M06;75,60
2000M07;75,30
2000M08;75,30
2000M09;76,00
2000M10;76,00
2000M11;76,40
2000M12;76,30
2001M01;76,90
2001M02;77,50
2001M03;77,70
2001M04;78,00
2001M05;78,40
2001M06;78,40
2001M07;77,40
2001M08;77,30
2001M09;77,70
2001M10;77,70
2001M11;77,70
2001M12;77,90
2002M01;78,00
2002M02;78,10
2002M03;78,40
2002M04;78,50
2002M05;78,70
2002M06;78,70
2002M07;78,60
2002M08;78,30
2002M09;78,80
2002M10;79,10
2002M11;79,40
2002M12;80,00
2003M01;81,90
2003M02;82,00
2003M03;81,40
2003M04;80,80
2003M05;80,30
2003M06;80,10
2003M07;79,80
2003M08;80,00
2003M09;80,40
2003M10;80,40
2003M11;80,50
2003M12;80,50
2004M01;80,40
2004M02;80,50
2004M03;80,90
2004M04;81,00
2004M05;81,10
2004M06;81,10
2004M07;81,00
2004M08;80,80
2004M09;81,30
2004M10;81,50
2004M11;81,50
2004M12;81,40
2005M01;81,20
2005M02;81,30
2005M03;81,70
2005M04;82,10
2005M05;82,40
2005M06;82,40
2005M07;82,20
2005M08;82,30
2005M09;82,90
2005M10;83,00
2005M11;83,00
2005M12;82,90
2006M01;82,70
2006M02;83,40
2006M03;83,60
2006M04;84,30
2006M05;84,30
2006M06;84,20
2006M07;83,90
2006M08;83,90
2006M09;85,10
2006M10;85,20
2006M11;85,10
2006M12;84,70
2007M01;83,70
2007M02;84,00
2007M03;84,50
2007M04;84,50
2007M05;84,60
2007M06;84,50
2007M07;84,30
2007M08;84,20
2007M09;84,80
2007M10;85,00
2007M11;86,40
2007M12;87,10
2008M01;86,70
2008M02;87,20
2008M03;87,20
2008M04;87,20
2008M05;87,20
2008M06;87,40
2008M07;87,90
2008M08;88,00
2008M09;89,30
2008M10;89,60
2008M11;89,10
2008M12;89,00
2009M01;88,70
2009M02;89,40
2009M03;89,40
2009M04;89,70
2009M05;89,90
2009M06;90,40
2009M07;89,90
2009M08;89,70
2009M09;90,40
2009M10;90,20
2009M11;90,50
2009M12;90,80
2010M01;90,90
2010M02;92,00
2010M03;92,50
2010M04;92,70
2010M05;92,20
2010M06;92,10
2010M07;91,60
2010M08;91,40
2010M09;92,00
2010M10;92,10
2010M11;92,30
2010M12;93,30
2011M01;92,70
2011M02;93,10
2011M03;93,40
2011M04;93,90
2011M05;93,70
2011M06;93,40
2011M07;93,10
2011M08;92,60
2011M09;93,40
2011M10;93,30
2011M11;93,30
2011M12;93,40
2012M01;93,20
2012M02;94,20
2012M03;94,10
2012M04;94,20
2012M05;94,20
2012M06;93,70
2012M07;93,30
2012M08;92,90
2012M09;93,90
2012M10;94,30
2012M11;94,40
2012M12;94,70
2013M01;94,50
2013M02;95,10
2013M03;95,40
2013M04;95,90
2013M05;96,00
2013M06;95,70
2013M07;96,10
2013M08;96,00
2013M09;96,40
2013M10;96,60
2013M11;96,70
2013M12;96,60
2014M01;96,60
2014M02;97,10
2014M03;97,30
2014M04;97,70
2014M05;97,80
2014M06;97,50
2014M07;98,30
2014M08;97,90
2014M09;98,50
2014M10;98,60
2014M11;98,60
2014M12;98,60
2015M01;98,60
2015M02;98,90
2015M03;99,20
2015M04;99,60
2015M05;99,80
2015M06;100,10
2015M07;100,10
2015M08;99,90
2015M09;100,60
2015M10;101,00
2015M11;101,30
2015M12;100,90
2016M01;101,50
2016M02;102,10
2016M03;102,50
2016M04;102,90
2016M05;103,20
2016M06;103,80
2016M07;104,50
2016M08;103,90
2016M09;104,20
2016M10;104,70
2016M11;104,90
2016M12;104,40
2017M01;104,30
2017M02;104,70
2017M03;105,00
2017M04;105,20
2017M05;105,40
2017M06;105,80
2017M07;106,10
2017M08;105,30
2017M09;105,90
2017M10;106,00
2017M11;106,10
2017M12;106,10
2018M01;106,00
2018M02;107,00
2018M03;107,30
2018M04;107,70
2018M05;107,80
2018M06;108,50
2018M07;109,30
2018M08;108,90
2018M09;109,50
2018M10;109,30
2018M11;109,80
2018M12;109,80
2019M01;109,30
2019M02;110,20
2019M03;110,40
2019M04;110,80
2019M05;110,50
2019M06;110,60
2019M07;111,40
2019M08;110,60
2019M09;111,10
2019M10;111,30
2019M11;111,60
2019M12;111,30
2020M01;111,30
2020M02;111,20
2020M03;111,20
2020M04;111,70
2020M05;111,90
2020M06;112,10
2020M07;112,90
2020M08;112,50
2020M09;112,90
2020M10;113,20
2020M11;112,40
2020M12;112,90
2021M01;114,10
2021M02;114,90
2021M03;114,60
2021M04;115,00
2021M05;114,90
2021M06;115,30
2021M07;116,30
2021M08;116,30
2021M09;117,50
2021M10;117,20
2021M11;118,10
2021M12;118,90
2022M01;117,80
2022M02;119,10
2022M03;119,80
2022M04;121,20
2022M05;121,50
2022M06;122,60
2022M07;124,20
2022M08;123,90
2022M09;125,60
2022M10;126,00
2022M11;125,80
2022M12;125,90
2023M01;126,10
2023M02;126,60
2023M03;127,60
2023M04;129,00
2023M05;129,60
2023M06;130,40
2023M07;130,90
2023M08;129,90
2023M09;129,80